Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Edgar Castillo,Atlanta United FC,19,Defender,Las Cruces,New Mexico,United States of America,34,"5' 7""",145
Manuel Castro,Atlanta United FC,15,Midfielder,,,,25,"5' 8""",
Lucas Cavallini,Vancouver Whitecaps FC,9,Forward,Mississauga,Ontario,Canada,27,"5' 10""",185
Emanuel Cecchini,Seattle Sounders FC,15,Midfielder,Ingeniero Huergo,,Argentina,23,"5' 11""",170
Darwin Ceren,Houston Dynamo FC,24,Midfielder,Quezaltepeque,,El Salvador,30,"5' 10""",165
Edwin Cerrillo,FC Dallas,33,Midfielder,Frisco,Texas,United States of America,20,"5' 10""",180
Thomas Chacon,Minnesota United FC,11,Midfielder,Palmitas,,Uruguay,20,"5' 5""",128
Maikel Chang,Real Salt Lake,16,Midfielder,Havana,,Cuba,29,"5' 10""",174
Maxime Chanot,New York City FC,4,Defender,Nancy,,Fance,31,"6' 1""",172
Jay Chapman,Inter Miami CF,14,Midfielder,Toronto,Ontario,Canada,26,"6' 0""",157
Diego Chara,Portland Timbers,21,Midfielder,Cali,,Colombia,34,"5' 8""",150
Yimmi Chara,Portland Timbers,23,Midfielder,,,,29,"5' 7""",170
Justin Che,FC Dallas,,Defender,Frisco,Texas,United States of America,17,"6' 1""",165
Mathieu Choiniere,Montreal Impact,29,Midfielder,Saint-Alexandre,Quebec,Canada,21,"5' 6""",150
Jose Cifuentes,Los Angeles Football Club,11,Midfielder,,,,21,"5' 8""",155
Laurent Ciman,Toronto FC,26,Defender,Liège,,Belgium,35,"6' 0""",155
Caden Clark,New York Red Bulls,37,Midfielder,Medina,Minnesota,United States of America,17,"5' 11""",155
Steve Clark,Portland Timbers,12,Goalkeeper,,,,34,"6' 2""",192
Stefan Cleveland,Seattle Sounders FC,30,Goalkeeper,Dayton,Ohio,United States of America,26,"6' 2""",185
CJ Cochran,Nashville SC,28,Goalkeeper,Alpharetta,Georgia,United States of America,29,"6' 4""",214
Elliot Collier,Chicago Fire FC,28,Forward,Hamilton,,New Zealand,25,"6' 4""",180
Aurelien Collin,Philadelphia Union,78,Defender,,,,34,"6' 2""",169
Josue Colman,Orlando City SC,,Midfielder,Asuncion,,Paraguay,22,"5' 6""",156
Simon Colyn,Vancouver Whitecaps FC,54,Midfielder,Langley,British Columbia,Canada,18,"5' 9""",145
Tomas Conechny,Portland Timbers,19,Midfielder,,,,22,"5' 7""",150
Derek Cornelius,Vancouver Whitecaps FC,13,Defender,Ajax,Ontario,Canada,23,"6' 2""",190
Joe Corona,LA Galaxy,14,Midfielder,,,,30,"5' 8""",155
Jorge Corrales,Montreal Impact,26,Defender,Pinar del Rio,,Cuba,29,"5' 9""",150
Cade Cowell,San Jose Earthquakes,44,Forward,Ceres,California,United States of America,17,"5' 9""",154
Warren Creavalle,Philadelphia Union,2,Midfielder,Acworth,Georgia,United States of America,30,"5' 11""",170
Maxime Crepeau,Vancouver Whitecaps FC,16,Goalkeeper,Candiac,Quebec,Canada,26,"5' 11""",199
Cody Cropper,Houston Dynamo FC,55,Goalkeeper,Maple Grove,Minnesota,United States of America,27,"6' 4""",200
Allan Cruz,FC Cincinnati,8,Midfielder,Nicoya,,Costa Rica,24,"5' 5""",145
Emil Cuello,LA Galaxy,27,Midfielder,Orem,Utah,United States of America,23,"5' 11""",165
Antonio Carlos,Orlando City SC,25,Defender,,,,27,"6' 3""",
Auro,Toronto FC,96,Defender,,,,24,"5' 6""",136
Cristian Dajome,Vancouver Whitecaps FC,11,Midfielder,Bogota,,Colombia,26,"5' 8""",155
Jurgen Damm,Atlanta United FC,22,Midfielder,,,,28,"6' 1""",148
Abu Danladi,Nashville SC,7,Forward,Takoradi,,Ghana,25,"5' 10""",170
Sean Davis,New York Red Bulls,27,Midfielder,Holmdel,New Jersey,United States of America,27,"6' 0""",165
Junior Urso,Orlando City SC,11,Midfielder,Taboão da Serra,,Brazil,31,"5' 11""",
Alex De John,Orlando City SC,3,Defender,,,,29,"6' 0"""
Artur,Columbus Crew SC,8,Midfielder,Salvador,,Brazil,24,"5' 11""",154
Jack de Vries,Philadelphia Union,14,Midfielder,Brussels,,Belgium,18,"6' 0""",165
A.J. DeLaGarza,Inter Miami CF,20,Defender,Bryans Road,Maryland,United States of America,33,"5' 9""",150
Antonio Mlinar Delamea,New England Revolution,19,Defender,Celje,,Slovenia,29,"6' 0""",160
Jordy Delem,Seattle Sounders FC,8,Midfielder,Fort-de-France,,Martinique,27,"5' 11""",156
Nick DeLeon,Toronto FC,18,Midfielder,Phoenix,Arizona,United States of America,30,"5' 10""",170
Marky Delgado,Toronto FC,8,Midfielder,,,,25,"5' 9""",146
Nick DePuy,LA Galaxy,20,Defender,Irvine,California,United States of America,26,"6' 5""",205
Joey DeZart,Orlando City SC,34,Midfielder,Jackson,New Jersey,United States of America,22,"6' 1""",195
Justin Dhillon,Seattle Sounders FC,99,Forward,Rancho Santa Margarita,California,United States of America,25,"6' 3""",185
Amadou Dia,Sporting Kansas City,13,Defender,Highlands Ranch,Colorado,United States of America,27,"5' 10""",150
Luis Diaz,Columbus Crew SC,18,Midfielder,Nicoya,,Costa Rica,21,"5' 11""",159
Bakaye Dibassy,Minnesota United FC,,Defender,Paris,,France,31,"6' 0""",
Eric Dick,Sporting Kansas City,18,Goalkeeper,Carmel,Indiana,United States of America,26,"6' 5""",205
Tanner Dieterich,Nashville SC,24,Midfielder,Nashville,Tennessee,United States of America,22,"6' 0""",170
Daryl Dike,Orlando City SC,18,Forward,Edmond,Oklahoma,United States of America,20,"6' 2""",220
Clement Diop,Montreal Impact,31,Goalkeeper,Paris,,France,27,"6' 1""",165
Ethan Dobbelaere,Seattle Sounders FC,45,Midfielder,Seattle,Washington,United States of America,18,"5' 9""",140
Griffin Dorsey,Toronto FC,19,Midfielder,Evergreen,Colorado,United States of America,21,"6' 0""",160
Jonathan dos Santos,LA Galaxy,8,Midfielder,,,,30,"5' 8""",160
Hassani Dotson,Minnesota United FC,31,Midfielder,Federal Way,Washington,United States of America,23,"5' 11""",170
Erik Dueñas,Los Angeles Football Club,18,Defender,,,,16,"5' 4""",120
Cameron Duke,Sporting Kansas City,28,Midfielder,Overland Park,Kansas,United States of America,19,"5' 7""",135
Bryce Duke,Los Angeles Football Club,19,Midfielder,,,,19,"5' 7""",145
Cameron Dunbar,LA Galaxy,60,Midfielder,Carson,California,United States of America,18,"5' 6""",130
Kyle Duncan,New York Red Bulls,6,Defender,Brooklyn,New York,United States of America,23,"5' 10""",139
Julian Dunn,Toronto FC,5,Defender,,,,20,"6' 1""",168
Chris Duvall,Portland Timbers,15,Defender,Duluth,Georgia,United States of America,29,"5' 10""",165
Dom Dwyer,Orlando City SC,14,Forward,London,,England,30,"5' 9""",180
Jeremy Ebobisse,Portland Timbers,17,Forward,,,Bethesda,23,"6' 0""",175,** flag to manually check these geos
Raheem Edwards,Minnesota United FC,44,Midfielder,Mississauga,Ontario,Canada,25,"5' 9""",148
Earl Edwards Jr.,D.C. United,36,Goalkeeper,San Diego,California,United States of America,28,"6' 3""",205
Mandela Egbo,New York Red Bulls,39,Defender,Brent,,England,23,"5' 11""",165
Phillip Ejimadu,Los Angeles Football Club,40,Goalkeeper,,,,21,"6' 2""",215
Mohamed El-Munir,Los Angeles Football Club,13,Defender,,,,28,"5' 9""",154
Jack Elliott,Philadelphia Union,3,Defender,London,,England,25,"6' 5""",180
Fred Emmings,Minnesota United FC,99,Goalkeeper,Saint Paul,Minnesota,United States of America,16,"6' 5""",210
Tsubasa Endoh,Toronto FC,31,Midfielder,,,,27,"5' 8""",146
Franco Escobar,Atlanta United FC,2,Defender,Rosario,,Argentina,25,"5' 11"""
Roger Espinoza,Sporting Kansas City,15,Midfielder,Aurora,Colorado,United States of America,34,"5' 11""",170
Cristian Espinoza,San Jose Earthquakes,10,Midfielder,Buenos Aires,,Argentina,25,"5' 7""",154
Derrick Etienne Jr.,Columbus Crew SC,22,Midfielder,Paterson,New Jersey,United States of America,24,"5' 10""",160
Gianfranco Facchineri,Vancouver Whitecaps FC,34,Defender,Windsor,Ontario,Canada,18,"6' 0""",185
Diego Fagundez,New England Revolution,14,Midfielder,,,,25,"5' 8""",140
Rod Fanni,Montreal Impact,7,Defender,,,,38,"6' 1""",179
Marco Farfan,Portland Timbers,32,Defender,,,,22,"5' 9""",150
Andrew Farrell,New England Revolution,2,Defender,Louisville,Kentucky,United States of America,28,"5' 11""",185
Luis Felipe,San Jose Earthquakes,96,Midfielder,Mineola,New York,United States of America,24,"6' 1""",165
Rolf Feltscher,LA Galaxy,25,Defender,Bülach,,Switzerland,30,"5' 11""",163
Keesean Ferdinand,Montreal Impact,33,Defender,Rivière-des-Prairies,Quebec,Canada,17,"6' 0""",159
Marcus Ferkranus,LA Galaxy,,Forward,,,,0,
Gerso Fernandes,Sporting Kansas City,12,Midfielder/Forward,Bissau,,Guinea-Bissau,29,"5' 8""",140
Omir Fernandez,New York Red Bulls,21,Midfielder,Bronx,New York,United States of America,21,"5' 9""",
Jesus Ferreira,FC Dallas,7,Forward,McKinney,Texas,United States of America,19,"5' 8""",140
Carlos Fierro,San Jose Earthquakes,21,Midfielder,Ahome,,Mexico,26,"5' 9""",146
Nicolas Figal,Inter Miami CF,5,Defender,,,,26,"5' 11""",165
Maynor Figueroa,Houston Dynamo FC,15,Defender,Jutiapa,,Honduras,37,"5' 11""",187
Ethan Finlay,Minnesota United FC,13,Midfielder,Marshfield,Wisconsin,United States of America,30,"5' 9""",165
Nicolas Firmino,New England Revolution,29,Midfielder,Somerville,Massachusetts,United States of America,19,"5' 11""",155
Oniel Fisher,D.C. United,91,Defender,Portmore,,Jamaica,29,"5' 9""",155
Andres Flores,Portland Timbers,14,Midfielder,,,,30,"5' 6""",150
Edison Flores,D.C. United,10,Midfielder,,,,26,"5' 8""",159
Anthony Fontana,Philadelphia Union,21,Midfielder,Newark,Delaware,United States of America,21,"5' 8""",150
Andreu Fontas,Sporting Kansas City,3,Defender,Banyoles,,Spain,31,"6' 1""",190
Kortne Ford,Colorado Rapids,24,Defender,Greeley,Colorado,United States of America,24,"6' 2""",185
Waylon Francis,Columbus Crew SC,14,Defender,,,,30,"5' 9""",160
Przemyslaw Frankowski,Chicago Fire FC,11,Midfielder,,,,25,"5' 8""",155
Liam Fraser,Toronto FC,27,Midfielder,Surrey,British Columbia,Canada,22,"6' 1""",179
Tyler Freeman,Sporting Kansas City,23,Forward,Shawnee,Kansas,United States of America,17,"5' 10""",150
Matt Freese,Philadelphia Union,1,Goalkeeper,Wayne,Pennsylvania,United States of America,22,"6' 4""",195
Stefan Frei,Seattle Sounders FC,24,Goalkeeper,Berkeley,California,United States of America,34,"6' 3""",195
Alejandro Fuenmayor,Houston Dynamo FC,2,Defender,Valencia,,Venezuela,24,"6' 0"""
Gilbert Fuentes,San Jose Earthquakes,35,Midfielder,Tracy,California,United States of America,18,"5' 6""",140
Raymon Gaddis,Philadelphia Union,28,Defender,Indianapolis,Indiana,United States of America,30,"5' 9""",151
Tony Gallacher,Toronto FC,6,Defender,Glasgow,,Scotland,21,"5' 10""",156
Jon Gallagher,Atlanta United FC,26,Forward,Dundalk,,Ireland,24,"5' 9""",158
Erickson Gallardo,Toronto FC,9,Midfielder,,,,24,"5' 8""",150
Pedro Gallese,Orlando City SC,1,Goalkeeper,Lima,,Peru,30,"6' 3""",
Braian Galvan,Colorado Rapids,52,Midfielder,,,,20,"5' 5""",141
Christopher Garcia,Real Salt Lake,17,Midfielder,El Paso,Texas,United States of America,17,"5' 7""",142
Boniek Garcia,Houston Dynamo FC,27,Midfielder,,,,36,"5' 9""",150
Chase Gasper,Minnesota United FC,77,Defender,Alexandria,Virginia,United States of America,24,"6' 0""",185
Carles Gil,New England Revolution,22,Midfielder,Valencia,,Spain,28,"5' 7""",145
Gaston Gimenez,Chicago Fire FC,30,Midfielder,Formosa,,Argentina,29,"6' 2""",194
Francisco Ginella,Los Angeles Football Club,8,Midfielder,Montevideo,,Uruguay,21,"5' 10""",160
Tomas Giraldo,Montreal Impact,,Midfielder,Montreal,Quebec,Canada,17,"6' 0""",163
Justen Glad,Real Salt Lake,15,Defender,Tucson,Arizona,United States of America,23,"6' 1""",160
Sam Gleadle,Minnesota United FC,,Defender,Chichester,,United Kingdom,24,"5' 10""",155
Jakob Glesnes,Philadelphia Union,5,Defender,Sotra,,Norway,26,"6' 2""",185
Erik Godoy,Vancouver Whitecaps FC,22,Defender,Buenos Aires,,Argentina,27,"6' 2""",175
Anibal Godoy,Nashville SC,20,Midfielder,Panama City,,Panama,30,"6' 0""",165
Yeimar Gomez Andrade,Seattle Sounders FC,28,Defender,Tado,,Colombia,28,"6' 2""",200
Yony Gonzalez,LA Galaxy,,Midfielder,,,,26,"6' 0""",165
Giancarlo Gonzalez,LA Galaxy,21,Defender,San Jose,,Costa Rica,32,"6' 1""",185
Omar Gonzalez,Toronto FC,44,Defender,Dallas,Texas,United States of America,32,"6' 5""",205
Leandro Gonzalez Pirez,Inter Miami CF,26,Defender,,,,28,"6' 1"""
Tayvon Gray,New York City FC,24,Defender,Bronx,New York,United States of America,18,"5' 11""",163
Jacob Greene,D.C. United,,Defender,Crofton,Maryland,United States of America,17,"5' 8""",150
Jan Gregus,Minnesota United FC,8,Midfielder,Nitra,,Slovakia,29,"6' 3""",170
Julian Gressel,D.C. United,31,Midfielder,Neustadt an der Aisch,,Germany,26,"6' 1""",185
Alejandro Guido,Los Angeles Football Club,15,Midfielder,,,,26,"5' 11""",170
Felipe Gutiérrez,Sporting Kansas City,10,Midfielder,Quintero,,Chile,30,"5' 7""",145
Brian Gutierrez,Chicago Fire FC,40,Midfielder,Burbank,Illinois,United States of America,17,"5' 10""",140
Cristian Gutierrez,Vancouver Whitecaps FC,3,Defender,Santiago,,Chile,23,"5' 11""",150
Andrew Gutman,FC Cincinnati,96,Defender,Hinsdale,Illinois,United States of America,24,"6' 0""",170
Brad Guzan,Atlanta United FC,1,Goalkeeper,,,,36,"6' 4""",209
Joseph-Claude Gyau,FC Cincinnati,36,Midfielder,Silver Spring,Maryland,United States of America,28,"5' 9""",165
Justin Haak,New York City FC,80,Midfielder,Brooklyn,New York,United States of America,19,"6' 0""",165
Luke Haakenson,Nashville SC,26,Midfielder,Maple Grove,Minnesota,United States of America,23,"5' 10""",175
Nick Hagglund,FC Cincinnati,14,Defender,Cincinnati,Ohio,United States of America,28,"6' 1""",193
Marlon Hairston,Minnesota United FC,94,Midfielder,Jackson,Mississippi,United States of America,26,"6' 0""",157
Siad Haji,San Jose Earthquakes,19,Midfielder,Manchester,New Hampshire,United States of America,21,"5' 8""",150
Michael Halliday,Orlando City SC,26,Defender,Apopka,Florida,United States of America,17,"6' 0""",158
Bill Hamid,D.C. United,24,Goalkeeper,,,,30,"6' 3""",225
Jordan Hamilton,Columbus Crew SC,17,Forward,Scarborough,Ontario,Canada,24,"6' 0""",194
Niko Hansen,Houston Dynamo FC,12,Midfielder,Sacramento,California,United States of America,26,"5' 10""",170
Wilson Harris,Sporting Kansas City,96,Forward,Los Angeles,California,United States of America,21,"5' 11""",165
