Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Tom Pettersson,FC Cincinnati,3,Defender,Trollhattan,,Sweden,30,"6' 3""",183
Tomas Conechny,Portland Timbers,19,Midfielder,Comodoro Rivadavia,,Argentina,22,"5' 7""",150
Tomas Giraldo,Montreal Impact,,Midfielder,Montreal,Quebec,Canada,17,"6' 0""",163
Tomas Martinez FC,Houston Dynamo,10,Midfielder,Beccar,,Argentina,25,"5' 8""",145
Tommy Thompson,San Jose Earthquakes,22,Defender,Loomis,California,United States of America,25,"5' 7""",145
Tony Gallacher,Toronto FC,6,Defender,Glasgow,,Scotland,21,"5' 10""",156
Tony Leone,Los Angeles Football Club,28,Defender,Long Beach,California,United States of America,16,"6' 0""",175
Tony Rocha,New York City FC,15,Midfielder,Spring,Texas,United States of America,27,"5' 9""",166
Tosaint Ricketts,Vancouver Whitecaps FC,87,Forward,Edmonton,Alberta,Canada,33,"5' 11""",170
Trey Muse,Seattle Sounders FC,1,Goalkeeper,Louisville,Kentucky,United States of America,21,"6' 4""",195
Tristan Blackmon,Los Angeles Football Club,27,Defender,Las Vegas,Nevada,United States of America,24,"6' 1""",
Tsubasa Endoh,Toronto FC,31,Midfielder,Tokyo,,Japan,27,"5' 8""",146
Tyler Freeman,Sporting Kansas City,23,Forward,Shawnee,Kansas,United States of America,17,"5' 10""",150
Tyler Miller,Minnesota United FC,1,Goalkeeper,Woodbury,New Jersey,United States of America,27,"6' 4""",195
Tyler Wolff,Atlanta United FC,28,Midfielder,Braselton,Georgia,United States of America,17,"5' 9""",154
Ulises Segura,D.C. United,8,Midfielder,Goicoechea,,Costa Rica,27,"6' 0""",154
Vako,San Jose Earthquakes,11,Midfielder,Ozurgeti,Georgia,United States of America,27,"5' 9""",163
Valentin Castellanos,New York City FC,11,Forward,Mendoza,,Argentina,22,"5' 10""",154
Victor Cabrera FC,Houston Dynamo,36,Defender,Lules,,Argentina,27,"6' 0""",165
Victor Ulloa,Inter Miami CF,13,Midfielder,Wylie,Texas,United States of America,28,"5' 11""",165
Victor Wanyama,Montreal Impact,2,Midfielder,Nairobi,,Kenya,29,"6' 2""",175
Vito Wormgoor,Columbus Crew SC,5,Defender,Leersum,,Netherlands,32,"6' 2""",179
Walker Zimmerman,Nashville SC,25,Defender,Lawrenceville,Georgia,United States of America,27,"6' 3""",185
Wan Kuzain Wan Kamal,Sporting Kansas City,75,Midfielder,Carbondale,Illinois,United States of America,22,"5' 10""",160
Warren Creavalle,Philadelphia Union,2,Midfielder,Acworth,Georgia,United States of America,30,"5' 11""",170
Waylon Francis,Columbus Crew SC,14,Defender,Lim�n,,Costa Rica,30,"5' 9""",160
Wil Trapp,Inter Miami CF,6,Midfielder,Columbus,Ohio,United States of America,27,"5' 8""",150
Wilfried Zahibo FC,Houston Dynamo,6,Midfielder,Marseille,,France,27,"6' 2""",175
Will Bruin,Seattle Sounders FC,17,Forward,St. Louis,Montana,United States of America,31,"6' 2""",194
Will Vint,Colorado Rapids,16,Midfielder,Colorado Springs,Colorado,United States of America,19,"6' 2""",174
William Yarbrough,Colorado Rapids,50,Goalkeeper,Aguascalientes,,Mexico,31,"6' 2""",141
Wilson Harris,Sporting Kansas City,96,Forward,Los Angeles,California,United States of America,20,"5' 11""",165
Winston Reid,Sporting Kansas City,22,Defender,Auckland,,New Zealand,32,"6' 3""",190
Wyatt Omsberg,Chicago Fire FC,20,Defender,Scarborough,Maine,United States of America,25,"6' 4""",180
Xavier Arreaga,Seattle Sounders FC,3,Defender,Guayaquil,,Ecuador,26,"6' 0""",165
Yamil Asad,D.C. United,11,Midfielder,San Antonio de Padua,,Argentina,26,"5' 10""",170
Yeimar Gomez Andrade,Seattle Sounders FC,28,Defender,Tado,,Colombia,28,"6' 2""",200
Yimmi Chara,Portland Timbers,23,Midfielder,Santiago de Cali,,Colombia,29,"5' 7""",170
Yony Gonzalez,LA Galaxy,,Midfielder,Medellin,,Colombia,26,"6' 0""",165
Yordy Reyna,D.C. United,,Midfielder/Forward,Chiclayo,,Peru,27,"5' 7""",145
Younes Namli,Colorado Rapids,21,Midfielder,Copenhagen,,Denmark,26,"5' 11""",154
Youness Mokhtar,Columbus Crew SC,34,Midfielder,Utrecht,,Netherlands,29,"5' 10""",165
Yuya Kubo,FC Cincinnati,7,Forward,Yamaguchi,,Japan,26,"5' 10""",160
Zac MacMath,Real Salt Lake,18,Goalkeeper,St. Petersburg,Florida,United States of America,29,"6' 2""",190
Zac McGraw,Portland Timbers,85,Defender,Torrance,California,United States of America,23,"6' 4""",205
Zachary Brault-Guillard,Montreal Impact,15,Defender,Lyon,,France,21,"5' 7""",145
Zarek Valentin FC,Houston Dynamo,4,Defender,Lancaster,Pennsylvania,United States of America,29,"5' 11""",156
Zico Bailey,FC Cincinnati,16,Defender,Henderson,Nevada,United States of America,20,"5' 7""",135
